USE_LICENSE_URL,COLLECTOR_ID,GUID,SCIENTIFIC_NAME,GENUS,SPECIES,COLLECTORS,CONTINENT_OCEAN,COUNTRY,STATE_PROV,COUNTY,MIN_ELEV_IN_M,MAX_ELEV_IN_M,MINIMUM_ELEVATION,MAXIMUM_ELEVATION,ELEV_IN_M,DEPTH_IN_M,SPEC_LOCALITY,LOCALITY_REMARKS,VERBATIM_LOCALITY,VERBATIM_DATE,DAY_COLLECTED,MONTH_COLLECTED,YEAR_COLLECTED,VERBATIM_COORDINATES,ORIG_LAT_LONG_UNITS,DEC_LAT,DEC_LONG,COORDINATEUNCERTAINTYINMETERS,DATUM,FORMATTED_SCIENTIFIC_NAME,COLL_EVENT_REMARKS,ASSOCIATED_SPECIES,AGE,AGE_CLASS,BODY_CONDITION,BODY_WIDTH,CALCAR_LENGTH,DESCRIPTION,DIMENSIONS,EAR_FROM_NOTCH,EAR_LENGTH_MM,EMBRYO_WEIGHT,HEAD_LENGTH,HEAD_WIDTH,HEIGHT,HIND_FOOT_WITH_CLAW,HIND_FOOT_LENGTH_MM,HIND_LIMB_LENGTH,LEFT_GONAD_LENGTH,LEFT_GONAD_WIDTH,MAXIMUM_STANDARD_LENGTH,MAXIMUM_TOTAL_LENGTH,MINIMUM_STANDARD_LENGTH,MINIMUM_TOTAL_LENGTH,REPRODUCTIVE_DATA,REPRODUCTIVE_STATUS,RIGHT_GONAD_LENGTH,RIGHT_GONAD_WIDTH,SEX,STANDARD_LENGTH,TAIL_BASE_WIDTH,TAIL_CONDITION,TAIL_LENGTH,TAIL_LENGTH_MM,TOTAL_LENGTH,TOTAL_LENGTH_MM,VERBATIM_COLLECTOR,WEIGHT,BODY_WEIGHT_G,BODY_LENGTH_MM,NOTES
http://creativecommons.org/licenses/by/3.0/; http://mvz.berkeley.edu/mvzdata_terms,TAS136,MVZ:Mamm:230488,Mus musculus,Mus,Mus musculus,Taichi Suzuki,North America,Canada,Alberta,Parkland County,712,712,2336,2336,712-712,,"Near Inter. Township Rd 513 and Range Rd. 273, Spruce Grove",cow farm,"Canada; Alberta; Parkland Co.; Near Inter. Township Rd 513 and Range Rd. 273, Spruce Grove; Cow farm; 53° 24.472'; 113° 54.427'; 2336ft",8/2/12,2,8,2012,53.4078666667/-113.9071166667,decimal degrees,53.40786667,-113.9071167,,unknown,"<i>Mus musculus</i> Linnaeus, 1758",,,,adult,,,,,,14.5 mm,14.5,,,,,19 mm,19,,,,,,,,"pregnant (embryos R6, L1, 10mm)",pregnant,,,female,,,,80 mm,80,175 mm,175,,23 g,23,95,
http://creativecommons.org/licenses/by/3.0/; http://mvz.berkeley.edu/mvzdata_terms,DL005,MVZ:Mamm:230439,Mus musculus,Mus,Mus musculus,Dana Lin,North America,United States,Arizona,Pima County,657,657,657,657,657-657,,"Carter's Tack and Feed, 1430 W Wetmore Rd., Tucson",,"Carter's Tack and Feed, 1430 West Wetmore Road, Tucson, Pima County, Arizona, United States",3-May-12,3,5,2012,23.4791/-111.6599333333,decimal degrees,32.28721,-110.99599,,World Geodetic System 1984,"<i>Mus musculus</i> Linnaeus, 1758",,,,,,,,,,15 mm,15,,,,,17 mm,17,,,,,,,,"pregnant, 4 embryos",pregnant,,,female,,,,91 mm,91,186 mm,186,,20.75 g,20.75,95,
http://creativecommons.org/licenses/by/3.0/; http://mvz.berkeley.edu/mvzdata_terms,,MVZ:Mamm:232995,Mus musculus,Mus,Mus musculus,Felipe Martins; Taichi Suzuki,South America,Bolivia,Cochabamba,,2552,2552,2552,2552,2552-2552,,feed store W of Cochabamba,,"South America, Bolivia, Cochabamba,  feed store W of Cochabamba",8/20/14,20,8,2014,0.262328023,decimal degrees,-17.39558333,-66.31233333,100,unknown,"<i>Mus musculus</i> Linnaeus, 1758",,,,,,,,,,14 mm,14,,,,,17.5 mm,17.5,,,,,,,,"pregnant, R2 L5, Largest embryo 1mm",pregnant,,,female,,,,89 mm,89,184 mm,184,,17.6 g,17.6,95,
http://creativecommons.org/licenses/by/3.0/; http://mvz.berkeley.edu/mvzdata_terms,TAS135,MVZ:Mamm:230487,Mus musculus,Mus,Mus musculus,Taichi Suzuki,North America,Canada,Alberta,Parkland County,712,712,2336,2336,712-712,,"Near Inter. Township Rd 513 and Range Rd. 273, Spruce Grove",cow farm,"Canada; Alberta; Parkland Co.; Near Inter. Township Rd 513 and Garden Spike, Spruce Grove; Cow farm; 53° 24.472'; 113° 54.427'; 2336ft",8/2/12,2,8,2012,53.4078666667/-113.9071166667,decimal degrees,53.40786667,-113.9071167,,unknown,"<i>Mus musculus</i> Linnaeus, 1758",,,,adult,,,,,,14.5 mm,14.5,,,,,18.5 mm,18.5,,,,,,,,,,,,female,,,,86 mm,86,181 mm,181,,18 g,18,95,
http://creativecommons.org/licenses/by/3.0/; http://mvz.berkeley.edu/mvzdata_terms,,MVZ:Mamm:230376,Mus musculus,Mus,Mus musculus,Felipe Martins,South America,Ecuador,Pichincha,,1577,1577,5173,5173,1577-1577,,"Trout Ranch, Km 52 Road Quito-Manta, Belavista, Nanegalito",,"South America, Ecuador, Pichincha, Trout Ranch, Km 52 Road Quito-Manta, Belavista, Nanegalito",12/3/12,3,12,2012,.0741/-78.6681166667,decimal degrees,0.0741,-78.66811667,,World Geodetic System 1984,"<i>Mus musculus</i> Linnaeus, 1758",,,,adult,,,,,,15 mm,15,,,,,17 mm,17,,,,,,,,"testes abdominal, 6x2mm",,,,male,,,,67 mm,67,162 mm,162,,13.25 g,13.25,95,
http://creativecommons.org/licenses/by/3.0/; http://mvz.berkeley.edu/mvzdata_terms,,MVZ:Mamm:232981,Mus musculus,Mus,Mus musculus,Felipe Martins; Taichi Suzuki,South America,Bolivia,Cochabamba,,2615,2615,2615,2615,2615-2615,,"Cochabamba, Museo de Historia Natural ""Alcide d'Orbigny""",,"South America, Bolivia, Cochabamba, Cochabamba, Museo de Historia Natural ""Alcide d'Orbigny""",8/19/14,19,8,2014,0.262630739,decimal degrees,-17.37375,-66.15276667,100,unknown,"<i>Mus musculus</i> Linnaeus, 1758",,,,adult,,,,,,14.5 mm,14.5,,,,,19 mm,19,,,,,,,,testis 6x4mm,,,,male,,,,96 mm,96,191 mm,191,,16.7 g,16.7,95,
http://creativecommons.org/licenses/by/3.0/; http://mvz.berkeley.edu/mvzdata_terms,FMM276,MVZ:Mamm:231388,Mus musculus,Mus,Mus musculus,Felipe Martins,South America,Brazil,Rondonia,,88,88,288,288,88-88,,Porto Velho,Bairro Cascalheiras; residence,"Brazil; Rondônia; Porto Velho; Bairro Cascalheiras; residence; S 08 °46' 58"" ; 63° 51' 07.1""; 288ft",9/18/13,18,9,2013,-0.137449851,decimal degrees,-8.78430556,-63.80333333,,unknown,"<i>Mus musculus</i> Linnaeus, 1758",,,,,,,,,,15 mm,15,,,,,16 mm,16,,,,,,,,parous,,,,female,,,,81 mm,81,177 mm,177,,13.5 g,13.5,96,
http://creativecommons.org/licenses/by/3.0/; http://mvz.berkeley.edu/mvzdata_terms,MPR156,MVZ:Mamm:230625,Mus musculus,Mus,Mus musculus,Megan Phifer-Rixey,North America,United States,Pennsylvania,Berks County,,,,,,,"Near Schoolhouse Rd., Upper Bern Township",,"North America, United States, Pennsylvania, Berks County, Near Schoolhouse Rd., Upper Bern Township",8/6/12,6,8,2012,40.526708/-76.097258,decimal degrees,40.526708,-76.097258,,unknown,"<i>Mus musculus</i> Linnaeus, 1758",,,,,,,,,,14 mm,14,,,,,19 mm,19,,,,,,,,parous,,,,female,,,,90 mm,90,186 mm,186,,21 g,21,96,
http://creativecommons.org/licenses/by/3.0/; http://mvz.berkeley.edu/mvzdata_terms,FMM270,MVZ:Mamm:231384,Mus musculus,Mus,Mus musculus,Felipe Martins,South America,Brazil,Rondonia,,72,72,235,235,72-72,,Porto Velho,Bairro Cascalheiras; residence,"Brazil; Rondônia; Porto Velho; Bairro Cascalheiras; residence; S 08 °46' 40.5"" ; 63° 50' 29.3""; 235ft",9/17/13,17,9,2013,0.137430847,decimal degrees,-8.77791667,-63.84138889,,unknown,"<i>Mus musculus</i> Linnaeus, 1758",,,,,,,,,,15 mm,15,,,,,16 mm,16,,,,,,,,"pregnant; embryo (right horn 1, left horn 1)",pregnant,,,female,,,,84 mm,84,180 mm,180,,15 g,15,96,
http://creativecommons.org/licenses/by/3.0/; http://mvz.berkeley.edu/mvzdata_terms,TAS149,MVZ:Mamm:230491,Mus musculus,Mus,Mus musculus,Taichi Suzuki,North America,Canada,Alberta,Parkland County,712,712,2336,2336,712-712,,"Near Inter. Township Rd 513 and Range Rd. 273, Spruce Grove",cow farm,"Canada; Alberta; Parkland Co.; Near Inter. Township Rd 513 and Range Rd. 273, Spruce Grove; Cow farm; 53° 24.472'; 113° 54.427'; 2336ft",8/4/12,4,8,2012,53.4078666667/-113.9071166667,decimal degrees,53.40786667,-113.9071167,,unknown,"<i>Mus musculus</i> Linnaeus, 1758",,,,adult,,,,,,15.9 mm,15.9,,,,,18.5 mm,18.5,,,,,,,,,,,,female,,,,82.5 mm,82.5,179 mm,179,,23.8 g,23.8,96.5,
http://creativecommons.org/licenses/by/3.0/; http://mvz.berkeley.edu/mvzdata_terms,,MVZ:Mamm:233016,Mus musculus,Mus,Mus musculus,Felipe Martins; Taichi Suzuki,South America,Bolivia,La Paz,,3097,3097,3097,3097,3097-3097,,Equestrian school S Cota Cota,,"South America, Bolivia, La Paz, Equestrian school S Cota Cota",8/15/14,15,8,2014,0.243710925,decimal degrees,-16.58918333,-68.0691,100,unknown,"<i>Mus musculus</i> Linnaeus, 1758",,,,adult,,,,,,14.5 mm,14.5,,,,,20.5 mm,20.5,,,,,,,,,,,,male,,,,93.5 mm,93.5,190 mm,190,,21 g,21,96.5,
http://creativecommons.org/licenses/by/3.0/; http://mvz.berkeley.edu/mvzdata_terms,FMM052,MVZ:Mamm:230350,Mus musculus,Mus,Mus musculus,Felipe Martins,South America,Ecuador,Manabi,,18,18,60,60,18-18,,"Chicken farm, Calceta, Portoviejo",,"South America, Ecuador, Manabi, Chicken farm, Calceta, Portoviejo",11/28/12,28,11,2012,0.011019027,decimal degrees,-0.883,-80.13411667,,World Geodetic System 1984,"<i>Mus musculus</i> Linnaeus, 1758",,,,adult,,,,,,14 mm,14,,,,,19 mm,19,,,,,,,,nulliparous,,,,female,,,,55 mm,55,152 mm,152,,15.5 g,15.5,97,
http://creativecommons.org/licenses/by/3.0/; http://mvz.berkeley.edu/mvzdata_terms,,MVZ:Mamm:232983,Mus musculus,Mus,Mus musculus,Felipe Martins; Taichi Suzuki,South America,Bolivia,Cochabamba,,2753,2753,2753,2753,2753-2753,,Chicken farm S of Cochabamba,,"South America, Bolivia, Cochabamba, Chicken farm S of Cochabamba",8/22/14,22,8,2014,0.266071024,decimal degrees,-17.57848333,-66.06688333,100,unknown,"<i>Mus musculus</i> Linnaeus, 1758",,,,,,,,,,15 mm,15,,,,,18.7 mm,18.7,,,,,,,,"pregnant, R6 L2",pregnant,,,female,,,,88.5 mm,88.5,186 mm,186,,21.7 g,21.7,97.5,
http://creativecommons.org/licenses/by/3.0/; http://mvz.berkeley.edu/mvzdata_terms,TAS091,MVZ:Mamm:237801,Mus musculus,Mus,Mus musculus,Taichi Suzuki,North America,Canada,Alberta,Strathcona County,755,755,2477,2477,755-755,,"Range Road 233 and North of Township Rd. 512, Sherwood Park",Cow farm,"51285 Range Road 233, Strathcona County, Alberta, Canada, 53° 24.522', 113° 19.141', elev. 2477 ft.",25-Jul-12,25,7,2012,53.4087/-113.3190166667,decimal degrees,53.4087,-113.3190167,,unknown,"<i>Mus musculus</i> Linnaeus, 1758",,,,adult,,,,,,13 mm,13,,,,,19 mm,19,,,,,,,,,,,,female,,,,92.5 mm,92.5,190 mm,190,,20.9 g,20.9,97.5,
http://creativecommons.org/licenses/by/3.0/; http://mvz.berkeley.edu/mvzdata_terms,MPR145,MVZ:Mamm:230650,Mus musculus,Mus,Mus musculus,Megan Phifer-Rixey,North America,United States,Vermont,Orange County,156,156,156,156,156-156,,Fairlee,,"North America, United States, Vermont, Orange County, Fairlee",7/26/12,26,7,2012,43.95596/-72.11164,decimal degrees,43.95596,-72.11164,,unknown,"<i>Mus musculus</i> Linnaeus, 1758",,,,,,,,,,14 mm,14,,,,,18.5 mm,18.5,,,,,,,,"lactating, parous",,,,female,,,,80 mm,80,178 mm,178,,21 g,21,98,
http://creativecommons.org/licenses/by/3.0/; http://mvz.berkeley.edu/mvzdata_terms,FMM099,MVZ:Mamm:230422,Mus musculus,Mus,Mus musculus,Felipe Martins,South America,Ecuador,Santo Domingo,,361,361,1183,1183,361-361,,"Small farm, Ruta 38 between Santo Domingo and Chone, Santo Domingo",,"South America, Ecuador, Santo Domingo, Small farm, Ruta 38 between Santo Domingo and Chone, Santo Domingo",12/11/12,11,12,2012,0.003079641,decimal degrees,-0.2443,-79.32743333,,World Geodetic System 1984,"<i>Mus musculus</i> Linnaeus, 1758",,,,adult,,,,,,14 mm,14,,,,,18 mm,18,,,,,,,,nulliparous,,,,female,,,,68 mm,68,166 mm,166,,10.25 g,10.25,98,
http://creativecommons.org/licenses/by/3.0/; http://mvz.berkeley.edu/mvzdata_terms,FMM166,MVZ:Mamm:231368,Mus musculus,Mus,Mus musculus,Felipe Martins,South America,Brazil,Rio Grande do Sul,,61,61,201,201,61-61,,Uruguaiana,farm,"Brazil; Rio Grande do Sul; Uruguaiana; ; farm; S 29 °52' 55.3"" ; 57° 10' 35.8""; 201ft",6/4/13,4,6,2013,0.522556007,decimal degrees,-29.87583333,-57.1725,,unknown,"<i>Mus musculus</i> Linnaeus, 1758",,,,,,,,,,15 mm,15,,,,,19 mm,19,,,,,,,,parous,,,,female,,,,94 mm,94,192 mm,192,,24.5 g,24.5,98,
