"","GUID","Population","Collector_ID","Sex","Generation","Line_ID","Mother_Line","Father_Line","Midparent_ID","Sample_ID","Total_Length_mm","Tail_Length_mm","Hindfoot_Length_mm","Ear_Length_mm","Body_Weight_g","Body_Length_mm","Age_days","Notes"
"116","NA","New York","MJS340","Male","N3","82x81",82,81,"82x81_C11xC4","C4",172,79,19,13,19.7,93,198,NA
"117","NA","New York","MJS352","Male","N3","44x42",44,42,"44x42_A1xA2","A4",200,91,20,14,21.7,109,284,NA
"118","NA","New York","MJS354","Male","N3","34x38",34,38,"34x38_C9xC4","C2",163,74,18,14,20.2,89,202,NA
"119","NA","New York","MJS365","Male","N3","92x91",92,91,"92x91_B1xB?","B4",199,82,18,16,20.5,117,259,NA
"120","NA","New York","MJS367","Male","N3","44x42",44,42,"44x42_C5xC4","C2",196,90,19,14,20.7,106,311,NA
"121","NA","New York","MJS369","Male","N3","76x56",76,56,"76x56_A1xA2","A2",191,87,18,15,21.5,104,209,NA
"122","NA","New York","MJS375","Male","N3","83x80",83,80,"83x80_A?xA8","A2",169,77,19,14,18.2,92,274,NA
"123","NA","New York","MJS395","Male","N3","84x89",84,89,"84x89_A1xA2","A2",165,75,19,14,20.4,90,244,NA
"124","NA","New York","MJS406","Male","N3","76x56",76,56,"76x56_C1xC2","C4",178,81,19,15,26.8,97,209,NA
"125","NA","New York","MJS514","Male","N3","19x13",19,13,"19x13_B1xB4","B2",190,89,19,15,23.4,101,NA,NA
"126","NA","New York","MJS407","Male","N3","84x89",84,89,"84x89_A1xA2","A4",173,78,19,15,22.3,95,258,NA
