"","GUID","Population","Collector_ID","Sex","Generation","Line_ID","Mother_Line","Father_Line","Parental_ID","Sample_ID","Total_Length_mm","Tail_Length_mm","Hindfoot_Length_mm","Ear_Length_mm","Body_Weight_g","Body_Length_mm","Age_days","Notes"
"144","NA","Brazil","FMM330","Male","N1","232x220",232,NA,NA,NA,161,81,17,12,15.1,80,"NA",NA
"145","NA","Brazil","FMM331","Male","N1","224x225",224,225,NA,NA,175,88,18,15,16.2,87,"NA",NA
"146","NA","Brazil","FMM334","Male","N1","261x239",261,239,NA,NA,187,88,18,15,16.5,99,"NA",NA
"147","NA","Brazil","FMM335","Male","N1","232x220",232,NA,NA,NA,135,46,19,14,13.3,89,"NA",NA
"148","NA","Brazil","FMM340","Male","N1","262x191",262,191,NA,NA,189,99,19,16,17.6,90,"NA",NA
"149","NA","Brazil","FMM348","Male","N1","240x226",240,226,NA,NA,170,90,19,14,13.2,80,"NA",NA
"150","NA","Brazil","FMM349","Male","N1","240x226",240,226,NA,NA,168,89,19,14,14.7,79,"NA",NA
"151","NA","Brazil","FMM355","Male","N1","261x239",261,239,NA,NA,182,95,18,14,19.3,87,"NA",NA
"152","MVZ:Mamm:236569","Brazil","FMM357","Male","N1","262x191",262,191,NA,NA,173,84.5,17.5,14.4,14.1,88.5,"425",NA
"153","MVZ:Mamm:236570","Brazil","FMM358","Male","N1","263x249",263,249,NA,NA,177,90,17.2,13.5,14.6,87,"231",NA
"154","MVZ:Mamm:236571","Brazil","FMM359","Male","N1","224x225",224,225,NA,NA,181,88.5,18.4,14,18.4,92.5,"462",NA
"155","MVZ:Mamm:236572","Brazil","FMM360","Male","N1","222x254",254,222,NA,"4",189,91,17,15,31.9,98,"295",NA
"156","NA","Brazil","FMM361","Male","N1","254x215",254,215,NA,"4",188,89,18,16,23.2,99,"505",NA
"157","MVZ:Mamm:236573","Brazil","FMM375","Male","N1","192x252",192,252,NA,"4",184,88,18,14,15.9,96,"245",NA
"158","MVZ:Mamm:236574","Brazil","FMM376","Male","N1","209x208",209,208,NA,"2",173,86,18,14,14.7,87,"433",NA
"159","MVZ:Mamm:236577","Brazil","FMM380","Male","N1","228x238",238,228,NA,"7",203,90,18,14,25.4,113,"254",NA
"160","MVZ:Mamm:236578","Brazil","FMM381","Male","N1","228x238",238,228,NA,"4",189,90,18,15,18.5,99,"294",NA
"161","MVZ:Mamm:236579","Brazil","FMM384","Male","N1","228x238",238,228,NA,"6",180,89,17,15,22.1,91,"294",NA
"162","MVZ:Mamm:236580","Brazil","FMM386","Male","N1","216x211",216,NA,NA,"4",174,84,18,14,16.8,90,"NA",NA
"163","NA","Brazil","FMM390","Male","N1","221x215",221,215,NA,"8",176,85,NA,15,17.2,91,"271",NA
"164","NA","Brazil","FMM391","Male","N1","221x215",221,215,NA,"2",182,84,16,14,19.3,98,"535",NA
"165","NA","Brazil","FMM392","Male","N1","255x193",255,193,NA,"4",171,86,15,13,16.1,85,"526",NA
"166","NA","Brazil","FMM393","Male","N1","255x193",255,193,NA,"6",195,97,18,17,19.29,98,"446",NA
"167","MVZ:Mamm:236582","Brazil","FMM399","Male","N1","216x211",216,NA,NA,"2",173,86,18,NA,13.8,87,"NA","damaged ear"
"168","NA","Brazil","FMM405","Male","N1","221x215",221,215,NA,"4",142,NA,19,15,18.7,142,"505",NA
"169","MVZ:Mamm:236585","Brazil","FMM412","Male","N1","222x254",254,222,NA,"2",181,90,17,14,29.9,91,"308",NA
"170","MVZ:Mamm:236587","Brazil","FMM414","Male","N1","202x246",202,246,NA,"4",155,NA,18,NA,18.6,90,"354","damaged tail and ear"
"171","MVZ:Mamm:236588","Brazil","FMM415","Male","N1","224x225",224,225,NA,NA,181,89,17,14,26.2,92,"NA",NA
"172","MVZ:Mamm:236590","Brazil","FMM417","Male","N1","224x225",224,225,NA,"2",184,91,18,15,24.5,93,"593",NA
"173","NA","Brazil","FMM421","Male","N1","202x246",202,246,NA,NA,170,85,18,15,16.7,85,"306",NA
"174","NA","Brazil","FMM431","Male","N1","202x246",202,246,NA,NA,170,85,18,15,16.7,85,"306",NA
"175","MVZ:Mamm:236596","Brazil","FMM441","Male","N1","192x252",192,252,NA,NA,168,85,18,15,16.6,83,"404",NA
"176","MVZ:Mamm:236597","Brazil","FMM448","Male","N1","263x249",263,249,NA,NA,190,95,16,13,14.8,95,"413",NA
"177","NA","Brazil","FMM460","Male","N1","202x246",202,246,NA,NA,139,NA,19,14,15.9,139,"453",NA
"178","NA","Brazil","FMM464","Male","N1","250x247",250,247,NA,NA,177,88,18,14,19.5,89,"700",NA
"179","NA","Brazil","FMM476","Male","N1","260x220",260,NA,NA,NA,176,87,19,15,20.4,89,"351",NA
"180","NA","Brazil","FMM629","Male","N1","263x249",263,249,NA,NA,159,86,16,7,16.1,73,"NA",NA
"181","MVZ:Mamm:236347","New York","DL139","Female","N1","49x60",49,60,NA,NA,161,81,19,14.5,19,80,"144",NA
"182","NA","New York","MJS100","Female","N1","83x80",83,NA,NA,"7",156,72,18,18,16,84,"NA",NA
"183","NA","New York","MJS111","Female","N1","92x91",92,91,NA,"7",170,82,18,15,20,88,"NA",NA
"184","NA","New York","MJS114","Female","N1","9x11",9,11,NA,"15",173,85,19,15,21,88,"NA",NA
"185","NA","New York","MJS115","Female","N1","9x11",9,11,NA,"17",176,80,20,16,22,96,"NA",NA
"186","NA","New York","MJS116","Female","N1","19x13",19,13,NA,"21",165,79,18,14,14.5,86,"NA",NA
"187","NA","New York","MJS117","Female","N1","19x13",19,13,NA,"23",169,80,18,14,20.1,89,"NA",NA
"188","NA","New York","MJS118","Female","N1","19x13",19,13,NA,"25",165,75,17,14,18.5,90,"NA",NA
"189","NA","New York","MJS121","Female","N1","44x42",44,NA,NA,"5",173,81,19,14,19.1,92,"NA",NA
"190","NA","New York","MJS125","Female","N1","92x91",92,91,NA,"7",164,80,17,15,21,84,"NA",NA
"191","NA","New York","MJS126","Female","N1","92x91",92,91,NA,"9",183,82,20,17,23,101,"NA",NA
"192","NA","New York","MJS127","Female","N1","92x91",92,91,NA,"11",165,73,18,14,19.2,92,"NA",NA
"193","NA","New York","MJS128","Female","N1","105x104",105,104,NA,"1",168,80,17,12,18.5,88,"NA",NA
"194","NA","New York","MJS131","Female","N1","92x91",92,91,NA,"17",160,80,18,16,18.4,80,"NA",NA
"195","NA","New York","MJS132","Female","N1","9x11",9,11,NA,"17",165,78,15,11,20.5,87,"NA",NA
