"","GUID","Population","Collector_ID","Sex","Generation","Line_ID","Mother_Line","Father_Line","Parental_ID","Sample_ID","Total_Length_mm","Tail_Length_mm","Hindfoot_Length_mm","Ear_Length_mm","Body_Weight_g","Body_Length_mm","Age_days","Notes"
"315","NA","Brazil","FMM370","Female","N2","261x239",261,239,NA,"A7",162,82,16,14,14.6,80,"247",NA
"316","NA","Brazil","FMM371","Female","N2","261x239",261,239,"9x6","3",160,84,16,14,14.1,76,"247",NA
"317","NA","Brazil","FMM373","Female","N2","254x215",254,215,NA,"B1",166,76,16,15,16.8,90,"293",NA
"318","MVZ:Mamm:236575","Brazil","FMM377","Female","N2","221x215",221,215,NA,"B1",172,80,17,14,13.7,92,"300",NA
"319","NA","Brazil","FMM378","Female","N2","224x225",224,225,NA,"B1",170,85,16,14,15.5,85,"261",NA
"320","NA","Brazil","FMM383","Female","N2","261x239",261,239,NA,"B3",164,82,16,14,15.7,82,"298",NA
"321","NA","Brazil","FMM389","Female","N2","221x215",221,215,NA,"A5",137,NA,19,14,15.7,137,"194",NA
"322","NA","Brazil","FMM390","Female","N2","224x225",224,225,NA,"A1",171,81,19,14,15.1,90,"348",NA
"323","NA","Brazil","FMM391","Female","N2","224x225",224,225,NA,"A3",166,88,18,14,15.7,78,"348",NA
"324","NA","Brazil","FMM392","Female","N2","224x225",224,225,NA,"A5",173,86,18,14,14.3,87,"348",NA
"325","NA","Brazil","FMM394","Female","N2","224x225",224,225,NA,"B3",173,85,14,17.5,16.47,88,"315",NA
"326","NA","Brazil","FMM395","Female","N2","224x225",224,225,NA,"B5",166,94,18,14,14.9,72,"315",NA
"327","NA","Brazil","FMM402","Female","N2","261x239",261,239,NA,"A3",159,82,17.5,13,10,77,"353",NA
"328","NA","Brazil","FMM404","Female","N2","261x239",261,239,"9x6","1-B7",168,81,18,14,12.7,87,"308",NA
"329","NA","Brazil","FMM406","Female","N2","263x249",263,249,"3x2","A1",161,81,17,14.5,12,80,"308",NA
"330","NA","Brazil","FMM407","Female","N2","263x249",263,249,"3x2","A3",165,87,18,14,13,78,"308",NA
"331","NA","Brazil","FMM408","Female","N2","263x249",263,249,"3x2","A5",169,78,16,14,14.1,91,"308",NA
"332","NA","Brazil","FMM409","Female","N2","263x249",263,249,"3x2","A7",172,87,18,14,14.7,85,"308",NA
"333","NA","Brazil","FMM411","Female","N2","254x215",254,215,NA,"C1",175,85,19,14,15.1,90,"315",NA
"334","NA","Brazil","FMM421","Female","N2","222x254",254,222,"A1xA2","A1",181,80,16,14,16.9,101,"191",NA
"335","NA","Brazil","FMM423","Female","N2","222x254",254,222,"B5xB4","B5",183,81,17,14,18.8,102,"NA",NA
"336","NA","Brazil","FMM428","Female","N2","228x238",238,228,NA,"B1",160,87,17,14,15.9,73,"191",NA
"337","NA","Brazil","FMM433","Female","N2","222x254",254,222,NA,NA,183,81,17,14,18.8,102,"222",NA
"338","NA","Brazil","FMM437","Female","N2","255x193",255,193,NA,"A1",185,86,17,16,16.8,99,"275",NA
"339","NA","Brazil","FMM440","Female","N2","224x225",224,225,NA,"A1",171,82,19,14,16.2,89,"282",NA
"340","NA","Brazil","FMM442","Female","N2","261x239",261,239,NA,"B5",175,87,18,14,23.3,88,"359",NA
"341","NA","Brazil","FMM443","Female","N2","209x208",209,208,NA,"A1",165,83,19,14,15,82,"357",NA
"342","NA","Brazil","FMM444","Female","N2","263x249",263,249,NA,"A1",189,94,16,14,13.8,95,"403",NA
"343","NA","Brazil","FMM446","Female","N2","192x252",192,252,NA,NA,176,85,16,14,18.5,91,"200",NA
"344","NA","Brazil","FMM453","Female","N2","222x254",254,222,"A1xA2","A5",181,93,15,14,20.2,88,"147",NA
"345","NA","Brazil","FMM455","Female","N2","263x249",263,249,"B5xB4","B3",174,90,18,15,15.7,84,"110",NA
"346","NA","Brazil","FMM458","Female","N2","228x238",238,228,"A1xA2","A1",162,78,18,13,14.8,84,"183",NA
"347","NA","Brazil","FMM478","Female","N2","224x225",224,225,NA,"A7",176,85,19,14,19.4,91,"386",NA
"348","NA","Brazil","FMM480","Female","N2","261x239",261,239,NA,"A1",160,81,17,13,15.4,79,"508",NA
"349","NA","Brazil","FMM525","Female","N2","202x246",202,246,"B3xB4","B3",160,80,18,14,16.5,80,"279",NA
"350","NA","Brazil","FMM534","Female","N2","250x247",250,247,"A11xA4","A3",169,82,18,13,15.6,87,"180",NA
"351","NA","Brazil","FMM538","Female","N2","260x220",260,NA,"A3xA4","A1",169,76,16,13,18.8,93,"222",NA
"352","NA","Brazil","FMM542","Female","N2","250x247",250,247,"A11xA4","A1",168,81,18,13,16.8,87,"194",NA
"353","NA","Brazil",NA,"Female","N2",NA,NA,NA,NA,NA,172,83,18,14,14.3,89,"348",NA
"354","NA","Brazil","FMM343","Male","N2","261x239",261,239,NA,NA,161,84,16,12,17.28,77,"NA",NA
"355","NA","Brazil","FMM344","Male","N2","261x239",261,239,NA,NA,159,84,17,11,14.98,75,"NA",NA
"356","NA","Brazil","FMM356","Male","N2","261x239",261,239,NA,"B14",161.1,84,15,11.5,19.9,77.1,"NA",NA
"357","NA","Brazil","FMM374","Male","N2","261x239",261,239,NA,"A8",182,88,17,14,19.7,94,"292",NA
"358","NA","Brazil","FMM382","Male","N2","261x239",261,239,NA,"B4",179,84,18,14,15.2,95,"254",NA
"359","NA","Brazil","FMM385","Male","N2","209x208",209,208,NA,"A2",170,86,18,14,14.3,84,"306",NA
"360","NA","Brazil","FMM386","Male","N2","254x215",254,215,NA,"C2",176,89,19,14,17.9,87,"NA",NA
"361","NA","Brazil","FMM387","Male","N2","221x215",221,215,"1x2","A2",127,45,18,14,22.6,82,"308",NA
"362","NA","Brazil","FMM388","Male","N2","221x215",221,215,"1x2","A4",185,90,20,15,32.3,95,"308",NA
"363","NA","Brazil","FMM393","Male","N2","224x225",224,225,NA,"B2",176,95,19,15,15.8,81,"315",NA
"364","NA","Brazil","FMM396","Male","N2","254x215",254,215,NA,"B2",162,82,18,14,20.2,80,"308",NA
"365","NA","Brazil","FMM398","Male","N2","228x238",238,228,NA,"B6",173,83,17,13,14.3,90,"64",NA
"366","NA","Brazil","FMM398","Male","N2","254x215",254,215,NA,"C4",185,96,20,15,22.1,89,"315",NA
"367","MVZ:Mamm:236584","Brazil","FMM405","Male","N2","261x239",261,239,NA,"B8",165,83,17,13,13.3,82,"308",NA
"368","NA","Brazil","FMM410","Male","N2","263x249",263,249,"3x2","A2",134,NA,18,NA,15.2,134,"353",NA
"369","NA","Brazil","FMM424","Male","N2","222x254",254,222,NA,"A2",181,87,18,14,17.9,94,"191",NA
"370","NA","Brazil","FMM426","Male","N2","228x238",238,228,NA,"B2",160,77,17,14,15.8,83,"191",NA
"371","NA","Brazil","FMM429","Male","N2","221x215",221,215,"1x2","A2",162,79,18,15,18.5,83,"194",NA
"372","NA","Brazil","FMM430","Male","N2","221x215",221,215,NA,"B2",159,81,19,13,15.9,78,"308",NA
"373","NA","Brazil","FMM434","Male","N2","255x193",255,193,NA,"A8",165,80,20,15,15.8,85,"275",NA
"374","NA","Brazil","FMM439","Male","N2","261x239",261,239,NA,"B6",179,87,18,15,31.7,92,"359",NA
"375","NA","Brazil","FMM445","Male","N2","209x208",209,208,"A7xA2","A2",183,92,17,13,15.6,91,"240",NA
"376","NA","Brazil","FMM447","Male","N2","192x252",192,252,NA,NA,180,84,17,14,15.5,96,"200",NA
"377","NA","Brazil","FMM452","Male","N2","228x238",238,228,"A1xA2","A2",172,82,16,14,15.1,90,"183",NA
"378","NA","Brazil","FMM454","Male","N2","222x254",254,222,"A1xA2","A6",183,88,17,14,21.3,95,"147",NA
"379","NA","Brazil","FMM456","Male","N2","263x249",263,249,"B5xB4","B6",172,84,19,14,17.2,88,"110",NA
"380","NA","Brazil","FMM468","Male","N2","224x225",224,225,NA,"A4",177,85,19,14,27.4,92,"365",NA
"381","NA","Brazil","FMM481","Male","N2","261x239",261,239,NA,"A2",179,91,19,14,19.4,88,"508",NA
"382","NA","Brazil","FMM531","Male","N2","250x247",250,247,"A11xA4","A2",172,82,18,14,18.2,90,"180",NA
"383","NA","Brazil","FMM543","Male","N2","260x220",260,NA,"A3xA4","A2",178,82,19,14,24.4,96,"222",NA
"384","NA","Brazil","FMM630","Male","N2","224x225",224,225,"A3xA2","A2",157,75,18,13,15.3,82,"872",NA
"385","NA","New York","MJS157","Female","N2","66x67",66,67,"3x4?","A3",165,82,19,14,17.3,83,"245",NA
"386","NA","New York","MJS159","Female","N2","66x67",66,67,"3x4","3x4-1",164,78,18,14,15.5,86,"135",NA
"387","NA","New York","MJS218","Female","N2","92x91",92,91,"B","B1",182,86,18,15,29.4,96,"303",NA
"388","NA","New York","MJS225","Female","N2","9x11",9,11,"C","C3",176,75,19,14,20.3,101,"NA",NA
"389","NA","New York","MJS226","Female","N2","82x81",82,81,NA,"11",179,80,19,20,21.8,99,"184",NA
"390","NA","New York","MJS228","Female","N2","92x91",92,91,NA,"A3",182,86,19,16,21,96,"256",NA
"391","NA","New York","MJS231","Female","N2","34x38",34,38,"C1xC6","C9",165,76,19,14,18.6,89,"135",NA
"392","NA","New York","MJS231","Female","N2","19x13",19,13,NA,"B7",169,81,20,15,17.9,88,"361",NA
"393","NA","New York","MJS232","Female","N2","82x81",82,81,"A1xA2","A1",166,75,16,15,18.9,91,"320",NA
"394","NA","New York","MJS232","Female","N2","19x13",19,13,NA,"B9",164,78,20,15,17.1,86,"361",NA
"395","NA","New York","MJS233","Female","N2","84x89",84,89,"A","A3",169,73,19,14,NA,96,"134",NA
"396","NA","New York","MJS235","Female","N2","44x42",44,NA,"A","A1",176,88,20,14,26.4,88,"314",NA
"397","NA","New York","MJS236","Female","N2","9x11",9,11,"A","A3",155,70,18,13,18.3,85,"234",NA
"398","NA","New York","MJS236","Female","N2","19x13",19,13,NA,"B3",175,79,19,18,20.5,96,"279",NA
"399","NA","New York","MJS238","Female","N2","34x38",34,38,NA,NA,167,84,19,14,18.1,83,"280",NA
"400","NA","New York","MJS238","Female","N2","83x80",83,NA,"2x1","A?",162,80,17,15,24.1,82,"293",NA
"401","NA","New York","MJS239","Female","N2","34x38",34,38,NA,"A1",185,82,19,15,26.9,103,"277",NA
"402","NA","New York","MJS239","Female","N2","34x38",34,38,NA,NA,170,85,18.5,14,15.7,85,"281",NA
"403","NA","New York","MJS240","Female","N2","34x38",34,38,NA,"A2",169,78,19,15,17.7,91,"281",NA
"404","NA","New York","MJS241","Female","N2","34x38",34,38,NA,"B3",179,87,20,15,21.4,92,"281",NA
"405","NA","New York","MJS243","Female","N2","44x42",44,NA,NA,"C5",181,88,20,15,19.2,93,"358",NA
"406","NA","New York","MJS247","Female","N2","19x13",19,13,"B3xB4","B11",173,85,19.5,15,22.1,88,"362",NA
"407","NA","New York","MJS307","Female","N2","82x81",82,81,"B3xB4","B1",164,76,19,15,20,88,"359",NA
"408","NA","New York","MJS311","Female","N2","92x91",92,91,"9x10","1",168,79,20,16,NA,89,"145",NA
"409","NA","New York","MJS314","Female","N2","84x89",84,89,"A","A1",165,75,20,15,19.7,90,"181",NA
"410","NA","New York","MJS328","Female","N2","76x56",76,56,"A1xA2","A1",166,82,19,15,21.6,84,"207",NA
"411","MVZ:Mamm:236646","New York","MJS332","Female","N2","19x13",19,13,"B","B1",171,80,19,15,17.3,91,"280",NA
"412","NA","New York","MJS337","Female","N2","66x67",66,67,"C","C1",170,82,19,14,17.8,88,"198",NA
"413","NA","New York","MJS344","Female","N2","19x13",19,13,"5x6",NA,180,81,17,14,17.6,99,"261",NA
"414","NA","New York","MJS347","Female","N2","76x56",76,56,"C6xC11","C2",170,77,19,14,NA,93,"183",NA
"415","NA","New York","MJS362","Female","N2","84x89",84,89,NA,"B1",186,80,18,15,22.6,106,"242",NA
"416","NA","New York","MJS377","Female","N2","84x89",84,89,NA,"5",174,80,19,14,24.1,94,"205",NA
"417","NA","New York","MJS440","Female","N2","83x80",83,NA,"B9xB10","B5",164,77,18,14,18.8,87,"347",NA
"418","NA","New York","MJS143","Male","N2","9x11",9,11,"5x8","5x8-10",161,74,18,12.5,17,87,"NA",NA
"419","NA","New York","MJS144","Male","N2","9x11",9,11,"5x8","5x8-12",168,74,19,13,17.6,94,"NA",NA
"420","NA","New York","MJS145","Male","N2","9x11",9,11,"5x8","5x8-14",160,75,18.5,13,16.6,85,"NA",NA
"421","NA","New York","MJS146","Male","N2","9x11",9,11,"5x8","5x8-16",176,74,18,13,19.3,102,"NA",NA
"422","NA","New York","MJS158","Male","N2","66x67",66,67,"3x4","3x4-2",166,83,19,15,18.5,83,"135",NA
"423","NA","New York","MJS162","Male","N2","66x67",66,67,NA,"A2",174,84,19,15,27.4,90,"247",NA
"424","NA","New York","MJS203","Male","N2","66x67",66,67,NA,"C2",162,78,19,15,18.1,84,"134",NA
"425","NA","New York","MJS225","Male","N2","82x81",82,81,NA,"C4",176,80,20,14,23.9,96,"184",NA
"426","NA","New York","MJS226","Male","N2","9x11",9,11,NA,"C2",171,75,20,15,24,96,"363",NA
"427","NA","New York","MJS227","Male","N2","9x11",9,11,NA,"A4",160,71,20,15,22.7,89,"281",NA
"428","NA","New York","MJS228","Male","N2","19x13",19,13,NA,"C2",177,83,19,15,21.9,94,"308",NA
"429","NA","New York","MJS229","Male","N2","92x91",92,91,NA,"A2",189,85,20,16,41.2,104,"320",NA
"430","NA","New York","MJS230","Male","N2","34x38",34,38,"C1xC6","C4",162,78,20,14,24.2,84,"135",NA
"431","NA","New York","MJS230","Male","N2","19x13",19,13,NA,"C6",175,89,19,15,21.4,86,"308",NA
"432","NA","New York","MJS234","Male","N2","84x89",84,89,"A","A2",171,77,19,14,21.1,94,"134",NA
"433","NA","New York","MJS234","Male","N2","19x13",19,13,"B3xB4","B2",169,80,19,15,21.9,89,"361",NA
"434","NA","New York","MJS235","Male","N2","19x13",19,13,NA,"B4",172,84,19,15,21.6,88,"279",NA
"435","NA","New York","MJS237","Male","N2","83x80",83,NA,NA,"A8",165,80,19,15,22.7,85,"293",NA
"436","NA","New York","MJS237","Male","N2","34x38",34,38,NA,NA,175,86,19,15,21.6,89,"308",NA
"437","NA","New York","MJS240","Male","N2","34x38",34,38,NA,"A2",180,79,18,15,29.1,101,"300",NA
"438","MVZ:Mamm:236637","New York","MJS242","Male","N2","34x38",34,38,NA,"B4",168,80,19,15,20.5,88,"280",NA
"439","NA","New York","MJS244","Male","N2","44x42",44,NA,NA,"C4",181,90,19,15,20.8,91,"358",NA
"440","NA","New York","MJS245","Male","N2","82x81",82,81,"B3xB4","B6",185,89,20,15,25.6,96,"359",NA
"441","NA","New York","MJS246","Male","N2","82x81",82,81,NA,NA,185,87,20,14,29.9,98,"359",NA
"442","NA","New York","MJS248","Male","N2","92x91",92,91,"9x10","4",161,70,18,15,21.5,91,"145",NA
"443","NA","New York","MJS250","Male","N2","92x91",92,91,"9x10","8",184,83,19,14,27.4,101,"146",NA
"444","NA","New York","MJS306","Male","N2","82x81",82,81,"B3xB4","B4",172,78,20,15,29.5,94,"359",NA
"445","NA","New York","MJS310","Male","N2","92x91",92,91,"9x10","2",171,80,20,16,20.8,91,"145",NA
"446","NA","New York","MJS327","Male","N2","76x56",76,56,"A1xA2","A2",172,83,19,14,21.5,89,"207",NA
"447","NA","New York","MJS345","Male","N2","19x13",19,13,"C5xC6","A8",177,85,17,15,16.6,92,"261",NA
"448","NA","New York","MJS346","Male","N2","76x56",76,56,"C6xC11","C1",176,84,19,15,27.8,92,"183",NA
"449","NA","New York","MJS355","Male","N2","84x89",84,89,NA,"B2",168,76,18,14,25,92,"242",NA
"450","NA","New York","MJS379","Male","N2","84x89",84,89,"D8xD9","D4",190,86,18,15,19.4,104,"205",NA
"451","NA","New York","MJS441","Male","N2","83x80",83,NA,"B9xB10","B4",167,78,18,15,20.6,89,"347",NA
"452","NA","Brazil","FMM423","Female","N3","254x215",254,215,"B1xB2","B5",164,73,15,14,20.5,91,"190","pregnant"
"453","NA","Brazil","FMM427","Female","N3","209x208",209,208,"A1xA2","A1",169,80,17,14,17,89,"194",NA
"454","NA","Brazil","FMM436","Female","N3","255x193",255,193,NA,NA,174,85,16,15,13.4,89,"241",NA
"455","NA","Brazil","FMM451","Female","N3","228x238",238,228,"B1xB2","B1",173,79,16,14,15.1,94,"174",NA
"456","NA","Brazil","FMM462","Female","N3","228x238",238,228,"A1xA2","A1",157,74,18,13,16.6,83,"147",NA
"457","NA","Brazil","FMM463","Female","N3","224x225",224,225,"XxB2","B3",168,83,17,15,28.5,85,"229",NA
"458","NA","Brazil","FMM465","Female","N3","263x249",263,249,"A1xA2","A7",165,83,18,13,14.6,82,"229",NA
"459","NA","Brazil","FMM466","Female","N3","221x215",221,215,"B1xB2","B1",163,78,18,14,16.8,85,"327",NA
"460","NA","Brazil","FMM471","Female","N3","261x239",261,239,"B5xB6","B3",170,80,18,15,26.4,90,"283",NA
"461","NA","Brazil","FMM479","Female","N3","261x239",261,239,"B5xB6","B1",166,84,18,14,17.6,82,"304",NA
"462","NA","Brazil","FMM483","Female","N3","263x249",263,249,"A1xA2","A13",163,81,16,14,13.7,82,"317",NA
"463","NA","Brazil","FMM492","Female","N3","222x254",254,222,"A5xA6","A1",166,85,18,13,25.8,81,"152","pregnant"
"464","NA","Brazil","FMM518","Female","N3","221x215",221,215,NA,NA,155,69,18,14,16.8,86,"316",NA
"465","NA","Brazil","FMM519","Female","N3","222x254",254,222,"A1xA2","A7",170,79,18,14,17.5,91,"258",NA
"466","NA","Brazil","FMM521","Female","N3","222x254",254,222,"A1xA2","A5",172,81,18,14,21.3,91,"265",NA
"467","NA","Brazil","FMM532","Female","N3","224x225",224,225,"A1xA2","A1",174,83,15,13,17.1,91,"405",NA
"468","NA","Brazil","FMM600","Female","N3","255x193",255,193,"A1xA8","A9",189,90,18.5,15,17.6,99,"383",NA
"469","NA","Brazil","FMM603","Female","N3","260x220",260,220,"A1xA2","A9",171,87,17,13,21.7,84,"179",NA
"470","NA","Brazil","FMM609","Female","N3","255x193",255,193,"A1xA8","A1",189,91,18.5,16,20,98,"576",NA
"471","NA","Brazil","FMM612","Female","N3","250x247",250,247,"A3xA2","A3",165,82,17,12,17.9,83,"252",NA
"472","NA","Brazil","FMM657","Female","N3","202x246",202,246,"B3xB6","B5",170,81,18,14,21.1,89,"691","pregnant"
"473","NA","Brazil","FMM372","Male","N3","254x215",254,215,NA,NA,149,71,15,14,11,78,"129",NA
"474","NA","Brazil","FMM389","Male","N3","221x215",221,215,NA,NA,163,78,17,14,16,85,"57",NA
"475","NA","Brazil","FMM395","Male","N3","221x215",221,215,NA,NA,166,76,19,14,16.4,90,"57",NA
"476","NA","Brazil","FMM422","Male","N3","254x215",254,215,"B1xB2","B8",175,81,16,13,15.9,94,"190",NA
"477","NA","Brazil","FMM425","Male","N3","209x208",209,208,"A1xA2","A2",173,94,19,14,16.7,79,"194",NA
"478","NA","Brazil","FMM435","Male","N3","255x193",255,193,NA,NA,171,81,18,15,19.5,90,"241",NA
"479","NA","Brazil","FMM457","Male","N3","228x238",238,228,"B1xB2","B2",170,81,18,14,15,89,"174",NA
"480","NA","Brazil","FMM461","Male","N3","228x238",238,228,"A1xA2","A2",161,80,19,14,19.7,81,"140",NA
"481","NA","Brazil","FMM467","Male","N3","221x215",221,215,"B1xB2","B2",162,72,18,14,18.8,90,"327",NA
"482","NA","Brazil","FMM469","Male","N3","261x239",261,239,"B5xB6","B2",175,85,19,14,26.2,90,"283",NA
"483","NA","Brazil","FMM470","Male","N3","261x239",261,239,NA,NA,167,85,17,13,15.5,82,"280",NA
"484","NA","Brazil","FMM472","Male","N3","224x225",224,225,"XxB2","B4",193,99,19,15,18.3,94,"229",NA
"485","NA","Brazil","FMM482","Male","N3","263x249",263,249,"A1xA2","A2",172,84,18,14,20.1,88,"257",NA
"486","NA","Brazil","FMM494","Male","N3","222x254",254,222,"A5xA6","A2",175,89,19,14,19.3,86,"152",NA
"487","NA","Brazil","FMM496","Male","N3","221x215",NA,NA,NA,NA,160,80,19,13,17.8,80,"274",NA
"488","NA","Brazil","FMM523","Male","N3","222x254",254,222,"A1xA2","A4",176,83,19,14,28.1,93,"265",NA
"489","NA","Brazil","FMM524","Male","N3","224x225",224,225,"A1xA2","A2",177,84,18,15,23.7,93,"377",NA
"490","NA","Brazil","FMM604","Male","N3","260x220",260,220,"A1xA2","A8",175,80,17,14,22.8,95,"179",NA
"491","NA","Brazil","FMM610","Male","N3","255x193",255,193,"A1xA8","A8",187,94,19,16,21.7,93,"425",NA
"492","NA","Brazil","FMM611","Male","N3","250x247",250,247,"A3xA2","A4",166,80,17,11,13.8,86,"252",NA
"493","NA","Brazil","FMM658","Male","N3","202x246",202,246,"B3xB6","B4",170,81,18,15,16.5,89,"691",NA
"494","NA","Brazil","GPH029","Male","N3","250x247",250,247,"A1xA2","A4",177,85,17,15,16.5,92,"276",NA
"495","NA","New York","MJS300","Female","N3","66x67",66,67,"B1xB2","B1",174,84,18,16,24.4,90,"165","pregnant"
"496","NA","New York","MJS303","Female","N3","92x91",92,91,"A3xA2","A4",168,83,18,14,24.3,85,"193","pregnant"
"497","NA","New York","MJS312","Female","N3","34x38",34,38,"A1xA2","A1",162,76.5,19,15,18.7,85.5,"208",NA
"498","NA","New York","MJS315","Female","N3","34x38",34,38,"B3xB4","B1",164,76,18,14,19.2,88,"206",NA
"499","NA","New York","MJS319","Female","N3","9x11",9,11,"A3xA4","A1",165,72,19,15,25.6,93,"199",NA
"500","NA","New York","MJS320","Female","N3","9x11",9,11,"C3xC2","C5",165,75,19,14,19.4,90,"206",NA
"501","NA","New York","MJS341","Female","N3","82x81",82,81,"C11xC4","C5",175,80,19,14,19.3,95,"198",NA
"502","NA","New York","MJS353","Female","N3","44x42",44,42,"A1xA2","A5",197,86,19,14,27.3,111,"284",NA
"503","NA","New York","MJS357","Female","N3","82x81",82,81,NA,NA,152,NA,18,14,20,89,"292","damaged tail"
"504","NA","New York","MJS359","Female","N3","34x38",34,38,"C9xC4","C1",171,74,16,14,29.2,97,"202","pregnant"
"505","NA","New York","MJS364","Female","N3","92x91",92,91,"B1xB?","B5",192,85,18,15,27.8,107,"259","pregnant"
"506","NA","New York","MJS370","Female","N3","76x56",76,56,"A1xA2","A1",188,88,19,15,23.6,100,"209","pregnant"
"507","NA","New York","MJS371","Female","N3","83x80",83,80,"A?xA8","A1",189,80,18,14,19.7,109,"274",NA
"508","NA","New York","MJS393","Female","N3","84x89",84,89,"A1xA2","A1",179,80,20,14,23.9,99,"244",NA
"509","NA","New York","MJS405","Female","N3","76x56",76,56,"C1xC2","C3",169,71,19,15,28.9,98,"209","pregnant"
"510","NA","New York","MJS409","Female","N3","84x89",84,89,"A1xA2","A5",168,75,19,14,20.5,93,"258",NA
"511","NA","New York","MJS527","Female","N3","19x13",19,13,"B1xB4","B1",202,97,19,15,21.1,105,"NA",NA
"512","NA","New York","MJS542","Female","N3","19x13",19,13,NA,NA,192,89,19,15,26.2,103,"570",NA
"513","NA","New York","MJS545","Female","N3","19x13",19,13,NA,NA,193,85,18,14,23.3,108,"526",NA
"514","NA","New York","MJS227","Male","N3","34x38",34,38,"B3xB4","B2",173,89,17,14,27,84,"159",NA
"515","NA","New York","MJS301","Male","N3","66x67",66,67,"B1xB2","B2",168,85,18,15,18.2,83,"165",NA
"516","NA","New York","MJS302","Male","N3","92x91",92,91,"A3xA2","A5",173,93,19,15,22.9,80,"193",NA
"517","NA","New York","MJS313","Male","N3","34x38",34,38,"A1xA2","A2",178,83,19,14,39.6,95,"208",NA
"518","NA","New York","MJS318","Male","N3","9x11",9,11,"A3xA4","A2",157,73,19,14,19.7,84,"199",NA
"519","NA","New York","MJS340","Male","N3","82x81",82,81,"C11xC4","C4",172,79,19,13,19.7,93,"198",NA
"520","NA","New York","MJS352","Male","N3","44x42",44,42,"A1xA2","A4",200,91,20,14,21.7,109,"284",NA
"521","NA","New York","MJS354","Male","N3","34x38",34,38,"C9xC4","C2",163,74,18,14,20.2,89,"202",NA
"522","NA","New York","MJS365","Male","N3","92x91",92,91,"B1xB?","B4",199,82,18,16,20.5,117,"259",NA
"523","NA","New York","MJS367","Male","N3","44x42",44,42,"C5xC4","C2",196,90,19,14,20.7,106,"311",NA
"524","NA","New York","MJS369","Male","N3","76x56",76,56,"A1xA2","A2",191,87,18,15,21.5,104,"209",NA
"525","NA","New York","MJS375","Male","N3","83x80",83,80,"A?xA8","A2",169,77,19,14,18.2,92,"274",NA
"526","NA","New York","MJS395","Male","N3","84x89",84,89,"A1xA2","A2",165,75,19,14,20.4,90,"244",NA
"527","NA","New York","MJS406","Male","N3","76x56",76,56,"C1xC2","C4",178,81,19,15,26.8,97,"209",NA
"528","NA","New York","MJS514","Male","N3","19x13",19,13,"B1xB4","B2",190,89,19,15,23.4,101,"NA",NA
"529","NA","New York","MJS407","Male","N3","84x89",84,89,"A1xA2","A4",173,78,19,15,22.3,95,"258",NA
"530","NA","New York","MJS541","Male","N3","19x13",19,13,NA,NA,205,95,20,15,26.8,110,"526",NA
"531","NA","New York","MJS543","Male","N3","19x13",19,13,NA,NA,203,98,19,15,25.3,105,"570",NA
"532","NA","New York","MJS544","Male","N3","19x13",19,13,NA,NA,193,90,19,15,24.3,103,"526",NA
"533","NA","Brazil","FMM484","Female","N4","208x209",208,209,NA,NA,169,81,18,14,17.9,88,"219",NA
"534","NA","Brazil","FMM514","Female","N4","228x238",228,238,NA,NA,170,82,18,14,17.3,88,"191",NA
"535","NA","Brazil","FMM515","Female","N4","261x239",261,239,NA,NA,167,81,18,15,20.5,86,"194",NA
"536","NA","Brazil","FMM526","Female","N4","254x215",254,215,NA,NA,162,74,18,13,19.2,88,"334","pregnant"
"537","NA","Brazil","FMM529","Female","N4","222x254",254,222,NA,NA,169,83,18,15,16.5,86,"109",NA
"538","NA","Brazil","FMM530","Female","N4","255x193",255,193,NA,NA,162,79,18,14,15.3,83,"247",NA
"539","NA","Brazil","FMM535","Female","N4","222x254",254,222,NA,NA,149,72,15,15,17.4,77,"162",NA
"540","NA","Brazil","FMM537","Female","N4","255x193",255,193,NA,NA,163,79,18,14,14.6,84,"371",NA
"541","NA","Brazil","FMM539","Female","N4","221x215",221,215,NA,NA,160,74,19,14,18.9,86,"226",NA
"542","NA","Brazil","FMM555","Female","N4","224x225",224,225,NA,NA,171,83,18,14,16.6,88,"204",NA
"543","NA","Brazil","FMM557","Female","N4","222x254",254,222,NA,NA,173,81,18,14,23.1,92,"197",NA
"544","NA","Brazil","FMM558","Female","N4","222x254",254,222,NA,NA,186,86,16,13,26.5,100,"172",NA
"545","NA","Brazil","FMM561","Female","N4","224x225",224,225,NA,NA,172,80,11,13,19.8,92,"583",NA
"546","NA","Brazil","FMM573","Female","N4","263x249",263,249,NA,NA,170,93,15,14,20.5,77,"229",NA
"547","NA","Brazil","FMM592","Female","N4","255x193",255,193,NA,NA,181,88,18,15,18.3,93,"343",NA
"548","NA","Brazil","FMM599","Female","N4","255x193",255,193,NA,NA,188,94,18,15,25.8,94,"355","pregnant"
"549","NA","Brazil","FMM636","Female","N4","250x247",250,247,NA,NA,177,86,17,14,16.7,91,"266",NA
"550","NA","Brazil","FMM648","Female","N4","260x220",260,220,NA,NA,178,76,17,15,23.1,102,"349",NA
"551","NA","Brazil","FMM485","Male","N4","208x209",208,209,NA,NA,189,87,18,15,16.7,102,"219",NA
"552","NA","Brazil","FMM497","Male","N4","228x238",228,238,NA,NA,157,75,18,14,15.9,82,"149",NA
"553","NA","Brazil","FMM513","Male","N4","255x193",255,193,NA,NA,174,85,18,15,18.9,89,"322",NA
"554","NA","Brazil","FMM516","Male","N4","261x239",261,239,NA,NA,172,85,18,14,22.7,87,"194",NA
