"","GUID","Population","Collector_ID","Sex","Generation","Total_Length_mm","Tail_Length_mm","Hindfoot_Length_mm","Ear_Length_mm","Body_Weight_g","Body_Length_mm","Age_days","Notes"
"225","NA","New_York","MJS193","Female","N1",160,77,19,15,19.6,83,"273",NA
"226","NA","New_York","MJS211","Female","N1",176,85,19,15,22,91,"289",NA
"227","NA","New_York","MJS212","Female","N1",180,86,20,16,19.7,94,"292",NA
"228","NA","New_York","MJS150","Female","N1",177,82,18,15,24,95,"332",NA
"229","NA","New_York","MJS323","Female","N1",169,80,18,15,22.4,89,"357",NA
"230","NA","New_York","MJS147","Female","N1",169,79,18,14,16.4,90,"404",NA
"231","NA","New_York","MJS148","Female","N1",165,74,19,16,17.8,91,"404",NA
"232","NA","New_York","MJS164","Female","N1",163,75,19,15,18.3,88,"440",NA
"233","NA","New_York","MJS213","Female","N1",167,85,16,15,17.5,82,"468",NA
"234","NA","New_York","MJS214","Female","N1",179,82,19,16,26.5,97,"473",NA
"235","NA","New_York","MJS163","Female","N1",170,81,19,15,25.6,89,"502",NA
"236","NA","New_York","MJS194","Female","N1",157,75,18,15,13,82,"515",NA
"237","NA","New_York","MJS205","Female","N1",185,82,19,15,19.9,103,"530",NA
"238","NA","New_York","MJS209","Female","N1",187,86,17,16,27.5,101,"530",NA
"239","NA","New_York","MJS100","Female","N1",156,72,18,18,16,84,"NA",NA
"240","NA","New_York","MJS111","Female","N1",170,82,18,15,20,88,"NA",NA
"241","NA","New_York","MJS114","Female","N1",173,85,19,15,21,88,"NA",NA
"242","NA","New_York","MJS115","Female","N1",176,80,20,16,22,96,"NA",NA
"243","NA","New_York","MJS116","Female","N1",165,79,18,14,14.5,86,"NA",NA
"244","NA","New_York","MJS117","Female","N1",169,80,18,14,20.1,89,"NA",NA
"245","NA","New_York","MJS118","Female","N1",165,75,17,14,18.5,90,"NA",NA
"246","NA","New_York","MJS121","Female","N1",173,81,19,14,19.1,92,"NA",NA
"247","NA","New_York","MJS125","Female","N1",164,80,17,15,21,84,"NA",NA
"248","NA","New_York","MJS126","Female","N1",183,82,20,17,23,101,"NA",NA
"249","NA","New_York","MJS127","Female","N1",165,73,18,14,19.2,92,"NA",NA
"250","NA","New_York","MJS128","Female","N1",168,80,17,12,18.5,88,"NA",NA
"251","NA","New_York","MJS131","Female","N1",160,80,18,16,18.4,80,"NA",NA
"252","NA","New_York","MJS132","Female","N1",165,78,15,11,20.5,87,"NA",NA
"253","NA","New_York","MJS134","Female","N1",162,75,15,12,21.3,87,"NA",NA
"254","NA","New_York","MJS135","Female","N1",160,78,17,12,20.6,82,"NA",NA
"255","NA","New_York","MJS136","Female","N1",165,81,16,11,19,84,"NA",NA
"256","NA","New_York","MJS201","Female","N1",166,77,18,15,19.5,89,"NA",NA
"257","MVZ:Mamm:236349","New_York","DL141","Male","N1",153,78,19,13,18.7,75,"157",NA
"258","MVZ:Mamm:236489","New_York","MJS133","Male","N1",180,80,20,16,28.2,100,"293",NA
"259","MVZ:Mamm:236600","New_York","MJS153","Male","N1",170,82,15,20,23.5,88,"165",NA
"260","MVZ:Mamm:236603","New_York","MJS156","Male","N1",182,85,19,15,33.3,97,"341",NA
"261","MVZ:Mamm:236606","New_York","MJS167","Male","N1",162,80,18,15,21.1,82,"261",NA
"262","MVZ:Mamm:236608","New_York","MJS169","Male","N1",180,87,19,15,21.8,93,"261",NA
"263","MVZ:Mamm:236613","New_York","MJS174","Male","N1",173,82,19,14,22.5,91,"222",NA
"264","MVZ:Mamm:236616","New_York","MJS177","Male","N1",181,82,19,17,27.7,99,"509",NA
"265","MVZ:Mamm:236618","New_York","MJS179","Male","N1",195,89,NA,16,34.2,106,"452",NA
"266","MVZ:Mamm:236619","New_York","MJS180","Male","N1",210,90,22,21,27.9,120,"509",NA
"267","MVZ:Mamm:236622","New_York","MJS183","Male","N1",185,81,21,19,35.4,104,"451",NA
"268","MVZ:Mamm:236624","New_York","MJS185","Male","N1",170,80,18,19,25.6,90,"451",NA
"269","MVZ:Mamm:236626","New_York","MJS187","Male","N1",172,80,19,16,27.4,92,"451",NA
"270","MVZ:Mamm:236630","New_York","MJS191","Male","N1",171,80,18,14,21.8,91,"146",NA
"271","MVZ:Mamm:236632","New_York","MJS219","Male","N1",186,87,18,16,25.1,99,"308",NA
"272","MVZ:Mamm:236633","New_York","MJS220","Male","N1",178,83,20,15,22.8,95,"253",NA
"273","MVZ:Mamm:236641","New_York","MJS325","Male","N1",175,83,18,15,26.4,92,"362",NA
"274","MVZ:Mamm:236644","New_York","MJS330","Male","N1",193,90,17,15,20.7,103,"539",NA
"275","MVZ:Mamm:236645","New_York","MJS331","Male","N1",173,80,18,15,20.8,93,"527",NA
"276","MVZ:Mamm:236647","New_York","MJS333","Male","N1",179,79,17,14,18.3,100,"600",NA
"277","MVZ:Mamm:236648","New_York","MJS334","Male","N1",184,87,19,15,24.6,97,"604",NA
"278","MVZ:Mamm:236649","New_York","MJS335","Male","N1",194,87,18,15,29.6,107,"231",NA
"279","MVZ:Mamm:236650","New_York","MJS336","Male","N1",172,81,18,14,19,91,"604",NA
"280","MVZ:Mamm:236653","New_York","MJS342","Male","N1",192,87,17,14,36.2,105,"565",NA
"281","MVZ:Mamm:236655","New_York","MJS358","Male","N1",203,93,19,15,23.1,110,"445",NA
"282","NA","New_York","MJS195","Male","N1",167,78,19,14,21.4,89,"98",NA
"283","NA","New_York","MJS210","Male","N1",173,83,20,15,24.7,90,"239",NA
"284","NA","New_York","MJS208","Male","N1",179,89,19,15,22.5,90,"292",NA
"285","NA","New_York","MJS152","Male","N1",173,83,19,16,20.4,90,"298",NA
"286","NA","New_York","MJS151","Male","N1",197,85,21,16,27.6,112,"379",NA
"287","NA","New_York","MJS149","Male","N1",168,75,16,14,17.6,93,"404",NA
"288","NA","New_York","MJS160","Male","N1",173,84,19,15,26.3,89,"440",NA
"289","NA","New_York","MJS161","Male","N1",174,83,19,15,21.7,91,"440",NA
"290","NA","New_York","MJS204","Male","N1",180,91,20,14.5,28.6,89,"461",NA
"291","NA","New_York","MJS206","Male","N1",207,88,20,17,37.9,119,"530",NA
"292","NA","New_York","MJS207","Male","N1",207,94,20,16,32.2,113,"530",NA
"293","NA","New_York","MJS101","Male","N1",179,82,18,15,32,97,"NA",NA
"294","NA","New_York","MJS102","Male","N1",165,71,18,16,16.7,94,"NA",NA
"295","NA","New_York","MJS103","Male","N1",185,78,20,18,33.8,107,"NA",NA
"296","NA","New_York","MJS104","Male","N1",191,91,21,17,33.2,100,"NA",NA
"297","NA","New_York","MJS105","Male","N1",165,80,16,15,20.2,85,"NA",NA
"298","NA","New_York","MJS106","Male","N1",180,85,21,16,25.8,95,"NA",NA
"299","NA","New_York","MJS107","Male","N1",187,89,20,18,26.3,98,"NA",NA
"300","NA","New_York","MJS108","Male","N1",182,85,20,16,18.1,97,"NA",NA
"301","NA","New_York","MJS109","Male","N1",176,83,19,18,28.9,93,"NA",NA
"302","NA","New_York","MJS110","Male","N1",170,82,18,14,24.2,88,"NA",NA
"303","NA","New_York","MJS112","Male","N1",177,82,20,15,23,95,"NA",NA
"304","NA","New_York","MJS113","Male","N1",173,83,19,16,23,90,"NA",NA
"305","NA","New_York","MJS119","Male","N1",179,83,19,15,29,96,"NA",NA
"306","NA","New_York","MJS120","Male","N1",201,96,19,15,28,105,"NA",NA
"307","NA","New_York","MJS122","Male","N1",165,75,17,14,27.8,90,"NA",NA
"308","NA","New_York","MJS123","Male","N1",183,87,17,16,29,96,"NA",NA
"309","NA","New_York","MJS124","Male","N1",175,83,20,18,20,92,"NA",NA
"310","NA","New_York","MJS129","Male","N1",178,85,19,16,20.8,93,"NA",NA
"311","NA","New_York","MJS130","Male","N1",191,87,20,18,30.7,104,"NA",NA
"312","NA","New_York","MJS138","Male","N1",190,92,19,15,36.2,98,"NA",NA
"313","NA","New_York","MJS140","Male","N1",198,87,21,15,31.9,111,"NA",NA
"314","NA","New_York","MJS202","Male","N1",169,77,20,15,19.3,92,"NA",NA
"315","MVZ:Mamm:236575","Brazil","FMM377","Female","N2",172,80,17,14,13.7,92,"300",NA
"316","NA","Brazil","FMM455","Female","N2",174,90,18,15,15.7,84,"110",NA
"317","NA","Brazil","FMM453","Female","N2",181,93,15,14,20.2,88,"147",NA
"318","NA","Brazil","FMM534","Female","N2",169,82,18,13,15.6,87,"180",NA
"319","NA","Brazil","FMM458","Female","N2",162,78,18,13,14.8,84,"183",NA
"320","NA","Brazil","FMM421","Female","N2",181,80,16,14,16.9,101,"191",NA
"321","NA","Brazil","FMM428","Female","N2",160,87,17,14,15.9,73,"191",NA
"322","NA","Brazil","FMM389","Female","N2",137,NA,19,14,15.7,137,"194",NA
"323","NA","Brazil","FMM542","Female","N2",168,81,18,13,16.8,87,"194",NA
"324","NA","Brazil","FMM446","Female","N2",176,85,16,14,18.5,91,"200",NA
"325","NA","Brazil","FMM433","Female","N2",183,81,17,14,18.8,102,"222",NA
"326","NA","Brazil","FMM538","Female","N2",169,76,16,13,18.8,93,"222",NA
"327","NA","Brazil","FMM370","Female","N2",162,82,16,14,14.6,80,"247",NA
"328","NA","Brazil","FMM371","Female","N2",160,84,16,14,14.1,76,"247",NA
"329","NA","Brazil","FMM378","Female","N2",170,85,16,14,15.5,85,"261",NA
"330","NA","Brazil","FMM437","Female","N2",185,86,17,16,16.8,99,"275",NA
"331","NA","Brazil","FMM525","Female","N2",160,80,18,14,16.5,80,"279",NA
"332","NA","Brazil","FMM440","Female","N2",171,82,19,14,16.2,89,"282",NA
"333","NA","Brazil","FMM373","Female","N2",166,76,16,15,16.8,90,"293",NA
"334","NA","Brazil","FMM383","Female","N2",164,82,16,14,15.7,82,"298",NA
"335","NA","Brazil","FMM404","Female","N2",168,81,18,14,12.7,87,"308",NA
"336","NA","Brazil","FMM406","Female","N2",161,81,17,14.5,12,80,"308",NA
"337","NA","Brazil","FMM407","Female","N2",165,87,18,14,13,78,"308",NA
"338","NA","Brazil","FMM408","Female","N2",169,78,16,14,14.1,91,"308",NA
"339","NA","Brazil","FMM409","Female","N2",172,87,18,14,14.7,85,"308",NA
"340","NA","Brazil","FMM394","Female","N2",173,85,14,17.5,16.47,88,"315",NA
"341","NA","Brazil","FMM395","Female","N2",166,94,18,14,14.9,72,"315",NA
"342","NA","Brazil","FMM411","Female","N2",175,85,19,14,15.1,90,"315",NA
"343","NA","Brazil","FMM390","Female","N2",171,81,19,14,15.1,90,"348",NA
"344","NA","Brazil","FMM391","Female","N2",166,88,18,14,15.7,78,"348",NA
"345","NA","Brazil","FMM392","Female","N2",173,86,18,14,14.3,87,"348",NA
"346","NA","Brazil",NA,"Female","N2",172,83,18,14,14.3,89,"348",NA
"347","NA","Brazil","FMM402","Female","N2",159,82,17.5,13,10,77,"353",NA
"348","NA","Brazil","FMM443","Female","N2",165,83,19,14,15,82,"357",NA
"349","NA","Brazil","FMM442","Female","N2",175,87,18,14,23.3,88,"359",NA
"350","NA","Brazil","FMM478","Female","N2",176,85,19,14,19.4,91,"386",NA
"351","NA","Brazil","FMM444","Female","N2",189,94,16,14,13.8,95,"403",NA
"352","NA","Brazil","FMM480","Female","N2",160,81,17,13,15.4,79,"508",NA
"353","NA","Brazil","FMM423","Female","N2",183,81,17,14,18.8,102,"NA",NA
"354","MVZ:Mamm:236584","Brazil","FMM405","Male","N2",165,83,17,13,13.3,82,"308",NA
"355","NA","Brazil","FMM398","Male","N2",173,83,17,13,14.3,90,"64",NA
"356","NA","Brazil","FMM456","Male","N2",172,84,19,14,17.2,88,"110",NA
"357","NA","Brazil","FMM454","Male","N2",183,88,17,14,21.3,95,"147",NA
"358","NA","Brazil","FMM531","Male","N2",172,82,18,14,18.2,90,"180",NA
"359","NA","Brazil","FMM452","Male","N2",172,82,16,14,15.1,90,"183",NA
"360","NA","Brazil","FMM424","Male","N2",181,87,18,14,17.9,94,"191",NA
"361","NA","Brazil","FMM426","Male","N2",160,77,17,14,15.8,83,"191",NA
"362","NA","Brazil","FMM429","Male","N2",162,79,18,15,18.5,83,"194",NA
"363","NA","Brazil","FMM447","Male","N2",180,84,17,14,15.5,96,"200",NA
"364","NA","Brazil","FMM543","Male","N2",178,82,19,14,24.4,96,"222",NA
"365","NA","Brazil","FMM445","Male","N2",183,92,17,13,15.6,91,"240",NA
"366","NA","Brazil","FMM382","Male","N2",179,84,18,14,15.2,95,"254",NA
"367","NA","Brazil","FMM434","Male","N2",165,80,20,15,15.8,85,"275",NA
"368","NA","Brazil","FMM374","Male","N2",182,88,17,14,19.7,94,"292",NA
"369","NA","Brazil","FMM385","Male","N2",170,86,18,14,14.3,84,"306",NA
"370","NA","Brazil","FMM387","Male","N2",127,45,18,14,22.6,82,"308",NA
"371","NA","Brazil","FMM388","Male","N2",185,90,20,15,32.3,95,"308",NA
"372","NA","Brazil","FMM396","Male","N2",162,82,18,14,20.2,80,"308",NA
"373","NA","Brazil","FMM430","Male","N2",159,81,19,13,15.9,78,"308",NA
"374","NA","Brazil","FMM393","Male","N2",176,95,19,15,15.8,81,"315",NA
"375","NA","Brazil","FMM398","Male","N2",185,96,20,15,22.1,89,"315",NA
"376","NA","Brazil","FMM410","Male","N2",134,NA,18,NA,15.2,134,"353",NA
"377","NA","Brazil","FMM439","Male","N2",179,87,18,15,31.7,92,"359",NA
"378","NA","Brazil","FMM468","Male","N2",177,85,19,14,27.4,92,"365",NA
"379","NA","Brazil","FMM481","Male","N2",179,91,19,14,19.4,88,"508",NA
"380","NA","Brazil","FMM630","Male","N2",157,75,18,13,15.3,82,"872",NA
